rowIdx,Produto,DIA,Coluna,Valor Anúncios
1,"Tarot",DIA 7,N,61
8,"Como plantar",DIA 7,N,5
12,"Neuropro",DIA 7,N,47
20,"Airfryer",DIA 7,N,40
30,"Saude (Euro)",DIA 7,N,44
32,"Emagrecimento",DIA 7,N,19
33,"Atividade cursiva",DIA 7,N,10
34,"Jiujistu",DIA 7,N,17
35,"Alfabetização",DIA 7,N,0
36,"Pacotes de músicas",DIA 7,N,0
39,"100 Brincadeiras Bebês",DIA 7,N,4
40,"Organização do Lar",DIA 7,N,91
41,"DryWall",DIA 7,N,0
42,"100 Cards Anti-Bullying",DIA 7,N,8
43,"Planilha Capivarinha",DIA 7,N,24
44,"JiuJistsu (LATAM)",DIA 7,N,12
52,"Atividades Copa do mundo",DIA 7,N,5
53,"Calistenia asiática",DIA 7,N,98
56,"Hora da Leiturinha",DIA 7,N,24
58,"Cafajeste (Acompanhar OF)",DIA 7,N,2
60,"Painel Campeões",DIA 7,N,14
61,"Dinamicas aulas de PTBR",DIA 7,N,10
62,"Planilha financeira",DIA 7,N,0
63,"Atividades da Pro",DIA 7,N,0
64,"Calistenia asiática 2 ",DIA 7,N,0
65,"Atividades de português",DIA 7,N,0
66,"Atividades em segundos",DIA 7,N,0
67,"Figurinhaa do filho",DIA 7,N,0
68,"Potinho da fé",DIA 7,N,0
69,"Alfabetização",DIA 7,N,0
70,"ABA no Autismo",DIA 7,N,0
71,"KIT de costura (Acomapnhar)",DIA 7,N,0
72,"Baralho do coração aberto",DIA 7,N,0
73,"Jogo da Memória da Copa",DIA 7,N,0
74,"Colorir Copa do Mundo",DIA 5,L,0
75,"Artes para Terraplanagem",DIA 5,L,67
76,"Logo",DIA 5,L,0
77,"TDAH",DIA 5,L,0
78,"Segredo do bebe",DIA 5,L,0
79,"80 recursos terapeuticos",DIA 5,L,0
80,"Acelerar aprendizado da cria",DIA 5,L,0
81,"Quadro com versículos",DIA 5,L,0
82,"Bolsas Croche",DIA 5,L,0
83,"Hora de aprender cristão",DIA 5,L,0
84,"Materiais para professores",DIA 4,K,0
85,"Pack Figurinhas",DIA 4,K,0
86,"Pack Figurinhas Copa ",DIA 4,K,0
87,"Exercícios para TDAH",DIA 6,G,9
88,"Molde Roupa PET",DIA 6,G,0
89,"Cristão + Hidroponica",DIA 6,G,0
90,"TCC com IA (R$ 297,00)",DIA 6,G,0
91,"Catalogo Estética automotiva",DIA 6,G,0
92,"Atividades para idosos",DIA 6,G,0
93,"Atividades para copa",DIA 6,G,4
94,"Adesivo Sono",DIA 6,G,0
95,"Simulado CNH",DIA 6,G,0
96,"Matemática Minecraft",DIA 6,G,5
97,"Desafio 21 dias Emagrec.",DIA 6,G,92
98,"Brinquedos de Papel",DIA 6,G,0
99,"A história do lider (Política)",DIA 5,F,0
